# MSD data
# time, 300 K, 350 K, 400 K
174,3.924022552,19.16127368,51.00095665
175,3.932398733,19.23971019,51.26587305
176,3.944974009,19.32109965,51.53447072
177,3.960940195,19.41319362,51.80393067
178,3.969273681,19.49302073,52.07602069
179,3.984628451,19.57899278,52.34937602
180,3.99964309,19.66672579,52.61899351
181,4.015804771,19.75387322,52.89053114
182,4.02658642,19.83199057,53.16203091
183,4.04082606,19.91142746,53.43647335
184,4.055534515,19.98800655,53.71650807
185,4.065883761,20.06808472,53.99985638
186,4.079534514,20.14612368,54.28724219
187,4.094075636,20.22852155,54.5700081
188,4.112160061,20.31037699,54.84316468
189,4.12722483,20.40024689,55.12372592
190,4.14278532,20.48905415,55.39805449
191,4.152674664,20.58186741,55.671029
192,4.161612614,20.66182632,55.94536674
193,4.175397774,20.74416957,56.2143506
194,4.191042731,20.82416188,56.48135922
195,4.19872345,20.90215926,56.75717563
196,4.205614695,20.98041508,57.03303511
197,4.219539646,21.06879151,57.30773908
198,4.235363789,21.14755834,57.58658378
199,4.252646877,21.22730585,57.85675138
200,4.264452252,21.31192092,58.12453219
201,4.27267795,21.39544274,58.40319573
202,4.284385715,21.48401781,58.68206083
203,4.300721191,21.57118167,58.96195239
204,4.317562894,21.65002138,59.24582764
205,4.336530921,21.7372505,59.54107184
206,4.346114843,21.8200093,59.82367113
207,4.351843285,21.90973172,60.0886728
208,4.372782173,21.997028,60.36805014
209,4.388621323,22.08338085,60.64167287
210,4.403595475,22.15933943,60.90828899
211,4.417002435,22.23989989,61.18098528
212,4.431611652,22.33125889,61.45329721
213,4.443387275,22.42069561,61.72393528
214,4.458015863,22.50159648,61.99091167
215,4.472700114,22.58679664,62.26106763
216,4.488492092,22.67896326,62.52643829
217,4.502981077,22.76343783,62.78590258
218,4.520973632,22.84968077,63.04707279
219,4.53526048,22.9326237,63.31150591
220,4.544771513,23.0147363,63.5666391
221,4.565658884,23.0917422,63.82498364
222,4.58624321,23.17363155,64.08578753
223,4.597729857,23.25115398,64.3466051
224,4.611730782,23.32416765,64.60330864
225,4.630279895,23.39943448,64.88040956
226,4.640742564,23.47686805,65.13391838
227,4.658059278,23.55559155,65.39141975
228,4.669818678,23.64019675,65.64722142
229,4.678064927,23.71554509,65.91124972
230,4.69412813,23.79118771,66.16923251
231,4.712553818,23.8742102,66.43161042
232,4.724553355,23.95565726,66.6955264
233,4.739189187,24.02804063,66.95842028
234,4.759473105,24.10580946,67.22461638
235,4.768787145,24.18336924,67.48586284
236,4.779656981,24.26712704,67.75620238
237,4.799765826,24.35206547,68.0153661
238,4.810076736,24.42674657,68.28492502
239,4.8270596,24.5094762,68.55780229
240,4.843636026,24.59391294,68.82794854
241,4.867192733,24.67938855,69.10530327
242,4.880747122,24.76303811,69.37946725
243,4.886272401,24.84749637,69.64105007
244,4.906099743,24.93354828,69.90873236
245,4.926415873,25.01203126,70.18257521
246,4.936681378,25.10481995,70.45015494
247,4.948609279,25.20012396,70.72279808
248,4.961257359,25.27992613,71.00037257
249,4.967422528,25.37050246,71.26590058
250,4.986253476,25.46924865,71.53448569
251,4.99914443,25.56624579,71.80857572
252,5.010342417,25.65845432,72.07712163
253,5.020090739,25.75093933,72.34296243
254,5.035445446,25.83908856,72.60723295
255,5.04695894,25.9335308,72.86978205
256,5.052440008,26.0170889,73.1291202
257,5.065750509,26.10779319,73.40129112
258,5.08340019,26.2002174,73.66840013
259,5.101296037,26.28566695,73.92963828
260,5.116289509,26.36165726,74.19874493
261,5.127984872,26.44852309,74.47145777
262,5.141073963,26.54227782,74.73746469
263,5.154010745,26.63552395,75.00346307
264,5.169708147,26.71857066,75.2590414
265,5.187020123,26.80522862,75.52182838
266,5.196565058,26.9062284,75.78383701
